MP10-26-15-17	Y. lip NTase #1
MP10-26-15-18	Y. lip NTase #2
MP10-26-15-19	Y. lip NTase NTD1-DADA #1C
MP10-26-15-20	Y. lip NTase NTD1-DADA #1F
MP10-26-15-21	Y. lip NTase NTD2-DADA #2C
MP10-26-15-22	Y. lip NTase NTD2-DADA #2F
MP10-26-15-23	Y. lip NTase DADA double #6
MP10-26-15-24	Y. lip NTase DADA double #12
MP10-26-15-25	Sp Cid11 SDM #6
MP10-26-15-26	Sp Cid11 SDM #10
MP10-26-15-27	S.pombe Cid12A
MP10-26-15-28	S.pombe Cid13 E
MP10-26-15-29	S.pombe Cid13 G
MP10-26-15-30	S.pombe Cid13 I
MP10-26-15-31	S.pombe Cid14G
MP10-26-15-32	S.pombe Cid14G
MP10-26-15-33	Sp Cid16 #2
MP10-26-15-34	Sp Cid16 #9
MP10-26-15-35	Sp Cid16 #9
MP10-26-15-36	F31C3.2 #26
MP10-26-15-37	MAP65B F31C3.2 #28
MP10-26-15-38	MAP65B F31C3.2 #28
MP10-26-15-39	F31C3.2 DADA #2
MP10-26-15-40	MAP67A F43H9.3 #43
MP10-26-15-41	MAP67A F43H9.3 #43
MP10-26-15-42	MAP68A C53A5.16 #53
MP10-26-15-43	MAP68A C53A5.16 #53
MP10-26-15-44	RDE-3 isoform a WT
MP10-26-15-45	RDE-3 isoform b WT #1
MP10-26-15-46	RDE-3 isoform b WT #1
MP10-26-15-47	RDE-3 isoform b WT #1
MP10-26-15-48	RDE-3 isoform b DADA #2
MP06-18-15-18	N. crassa 7/8  A
MP06-18-15-19	N. crassa 7/8  B
MP06-18-15-20	N. crassa 7/8  C
MP06-18-15-21	N. crassa 15/16  B
MP06-18-15-22	Human TUT4  3B-4
MP06-18-15-23	Human TUT4  3B-5
MP06-18-15-24	Human TUT4  3C-4
MP06-18-15-25	Ca1 #4
MP06-18-15-26	Ca6 #2
MP06-18-15-27	Ca7 #1
MP06-18-15-28	HPO-31 #1
MP06-18-15-29	HPO-31 #2
